CO_MUNICIPIO_IES,no_curso_aj_2,n
3138203,filosofia,6
3138203,fisica,2
3138203,linguaportuguesa,3
3138203,matematica,3
3138203,pedagogia,2
3138203,quimica,1
3143302,artes,4
3143302,biologia,11
3143302,educacaofisica,2
3143302,filosofia,1
3143302,fisica,4
3143302,historia,3
3143302,linguaportuguesa,11
3143302,matematica,6
3143302,musica,1
3143302,pedagogia,12
3143302,teatro,1
3146107,artes,2
3146107,biologia,5
3146107,educacaofisica,1
3146107,fisica,2
3146107,historia,7
3146107,linguaportuguesa,2
3146107,matematica,4
3146107,musica,5
3146107,pedagogia,1
3146107,quimica,1
3148004,educacaofisica,1
3152501,biologia,2
3152501,historia,1
3152501,matematica,1
3162500,biologia,7
3162500,educacaofisica,4
3162500,filosofia,1
3162500,fisica,2
3162500,geografia,3
3162500,historia,7
3162500,linguaportuguesa,9
3162500,matematica,4
3162500,pedagogia,11
3162500,quimica,1
3162500,teatro,1
3170107,biologia,9
3170107,computacao,1
3170107,geografia,1
3170107,historia,6
3170107,linguaportuguesa,3
3170107,matematica,4
3170206,biologia,14
3170206,educacaofisica,6
3170206,fisica,6
3170206,linguaportuguesa,21
3170206,pedagogia,18
3170206,quimica,2
3171303,biologia,19
3171303,educacaoinfantil,1
3171303,fisica,1
3171303,linguaportuguesa,12
3171303,matematica,4
3171303,pedagogia,7
3171303,quimica,3
3205309,artes,16
3205309,biologia,23
3205309,cienciasdanatureza,2
3205309,educacaofisica,15
3205309,filosofia,3
3205309,fisica,10
3205309,geografia,6
3205309,historia,22
3205309,linguaportuguesa,33
3205309,matematica,16
3205309,musica,3
3205309,pedagogia,14
3205309,quimica,6
3205309,sociologia,4
3301009,biologia,12
3301009,educacaofisica,5
3301009,fisica,6
3301009,geografia,1
3301009,historia,7
3301009,linguaportuguesa,2
3301009,matematica,6
3301009,musicaeducacaomusical,1
3301009,pedagogia,1
3301009,quimica,9
3303302,biologia,17
3303302,cienciasnaturais,1
3303302,cinemaeaudiovisual,9
3303302,computacao,1
3303302,educacaofisica,20
3303302,filosofia,7
3303302,fisica,12
3303302,geografia,11
3303302,historia,73
3303302,linguaportuguesa,45
3303302,matematica,24
3303302,pedagogia,39
3303302,quimica,11
3303302,sociologia,6
3304557,artes,11
3304557,biologia,52
3304557,cienciasdanatureza,7
3304557,computacao,1
3304557,danca,2
3304557,educacaoartisticadesenho,4
3304557,educacaofisica,18
3304557,filosofia,10
3304557,fisica,23
3304557,geografia,12
3304557,historia,71
3304557,linguaportuguesa,76
3304557,matematica,44
3304557,pedagogia,44
3304557,quimica,18
3304557,sociologia,15
3305554,cienciasagricolas,1
3305554,geografia,5
3305554,historia,9
3305554,linguaportuguesa,17
3305554,pedagogia,8
3541406,pedagogia,1
3547809,interdisciplinaremcienciashumanasbili,34
3547809,interdisciplinaremcienciasnaturaiseexatas,59
3548906,biologia,21
3548906,educacaoespecial,2
3548906,educacaofisica,6
3548906,fisica,10
3548906,geografia,6
3548906,linguaportuguesa,5
3548906,matematica,11
3548906,musica,3
3548906,pedagogia,28
3548906,quimica,18
3550308,biologia,28
3550308,ciencias,41
3550308,cienciasnaturaishabilitacaoemfisica,1
3550308,cienciasnaturaishabilitacaoemquimica,1
3550308,fisica,21
3550308,geografia,11
3550308,linguaportuguesa,56
3550308,matematica,54
3550308,pedagogia,50
3550308,quimica,43
4106902,biologia,3
4106902,fisica,5
4106902,geografia,1
4106902,historia,2
4106902,linguaportuguesa,16
4106902,matematica,8
4106902,pedagogia,12
4106902,quimica,2
4108304,biologia,2
4108304,geografia,1
4108304,historia,3
4108304,matematica,4
4108304,quimica,2
4109401,biologia,1
4109401,filosofia,1
4109401,historia,1
4109401,matematica,3
4109401,pedagogia,1
4111803,historia,1
4111803,linguaportuguesa,4
4111803,matematica,4
4111803,pedagogia,1
4113700,biologia,3
4113700,fisica,4
4113700,geografia,3
4113700,historia,8
4113700,linguaportuguesa,4
4113700,matematica,4
4113700,pedagogia,6
4113700,quimica,2
4113700,sociologia,4
4115200,artes,6
4115200,biologia,4
4115200,filosofia,2
4115200,fisica,1
4115200,geografia,1
4115200,historia,4
4115200,linguaportuguesa,5
4115200,matematica,5
4115200,pedagogia,4
4115200,sociologia,2
4118402,artes,14
4118402,danca,1
4118402,historia,2
4118402,linguaportuguesa,4
4118402,matematica,6
4118402,musica,3
4118402,teatro,2
4202404,matematica,3
4202404,pedagogia,4
4202404,quimica,1
4204202,biologia,3
4204202,filosofia,3
4204202,geografia,1
4204202,historia,2
4204202,linguaportuguesa,3
4204202,matematica,5
4204202,pedagogia,3
4204202,quimica,1
4204202,sociologia,3
4205407,artes,4
